,zip_code,zip_freq
84703,13053,18
84713,13054,17
84714,13321,26
84715,13440,1554
84722,13409,12
84730,13461,45
84740,13323,1032
84778,13421,558
84805,13490,16
84808,13068,11
84811,13126,790
84825,14590,63
84851,13143,5
84853,13140,22
84873,14516,7
84874,13146,15
84899,14489,280
84921,13801,7
84927,13903,49
84928,13901,42
84941,13424,13
84949,13363,17
84963,13478,216
84995,13413,81
85041,13486,3
85058,13477,36
85119,13303,8
85368,13157,9
85377,13425,4
85379,13408,25
85418,13476,91
85430,13325,28
85986,13346,360
86183,13904,25
86185,13815,304
86220,13778,48
86234,13332,102
86243,13760,279
86298,13830,333
86383,13803,25
86449,13797,4
86608,13862,2
86634,13844,12
86814,13334,12
87219,13746,1
87361,14555,6
87513,14841,4
87540,14541,8
87643,13402,42
87735,13156,44
87760,13074,18
87800,13069,1216
88216,14818,10
88306,13080,45
88321,14521,13
88536,13112,48
88955,14867,2
88956,14817,4
89226,13777,1
89354,13659,3
89419,13354,16
89420,13309,80
89424,13433,5
89429,13438,11
89445,13304,20
89471,13502,2955
89531,13492,275
89551,13501,3232
89662,13403,16
89694,13343,20
89698,13620,6
89704,13619,925
89738,13480,67
89776,13368,6
89779,13313,4
89783,13318,25
89800,13491,18
89808,13460,45
89823,13315,55
89858,13340,264
89868,13357,51
89886,13319,3
89888,13322,10
90160,13473,10
90331,13411,66
90352,13420,28
90407,13350,44
90408,13407,21
91703,13495,40
91835,13417,23
92627,13469,2
92662,13348,9
92852,13665,8
92858,13820,211
92867,13849,50
92869,13809,7
92881,13626,8
92882,13810,8
92886,13839,44
92893,13808,42
92898,13838,126
92932,13780,5
92938,13843,20
92955,13733,96
92988,13796,14
93014,13804,4
93174,13648,56
93423,13775,377
93474,13416,150
93865,13606,30
93873,13605,163
93901,13601,1591
93935,13611,8
93949,13637,25
93950,13608,12
93951,13612,63
94087,13685,14
94145,13634,102
94155,13607,6
94166,13646,35
94199,13669,180
94216,13691,20
94292,13681,24
94295,13673,35
94523,13624,380
94827,13622,9
94907,13693,9
94909,13650,90
94972,13679,12
94976,13675,3
94982,13660,24
95034,13658,40
95090,13654,2
95261,13730,85
95321,13732,22
95358,13734,6
95364,14892,437
95402,13743,9
95403,18840,30
95405,14861,2
95406,14901,172
95424,18830,4
95428,18810,33
95439,16925,4
95470,18837,35
95496,13782,3
95566,13865,44
95580,13795,8
95661,18818,6
95676,13826,11
95745,13813,16
95759,14825,3
95760,13812,12
95785,18850,4
95830,14883,55
95958,14859,4
96080,14838,2
